"table_schema","table_name","column_name","data_type","is_nullable","column_default","foreign_table","foreign_column"
"public","ai_insights","id","character varying","NO",,,
"public","ai_insights","subscriber_id","character varying","NO",,"subscribers","id"
"public","ai_insights","ai_source","USER-DEFINED","NO",,,
"public","ai_insights","function_category","character varying","NO",,,
"public","ai_insights","insight_type","character varying","NO",,,
"public","ai_insights","priority","USER-DEFINED","NO",,,
"public","ai_insights","title","character varying","NO",,,
"public","ai_insights","description","text","NO",,,
"public","ai_insights","data","json","YES",,,
"public","ai_insights","status","USER-DEFINED","NO",,,
"public","ai_insights","target_users","json","YES",,,
"public","ai_insights","created_at","timestamp without time zone","YES",,,
"public","ai_insights","dismissed_at","timestamp without time zone","YES",,,
"public","ai_insights","dismissed_by","character varying","YES",,"users","id"
"public","alembic_version","version_num","character varying","NO",,,
"public","authorities","id","character varying","NO",,,
"public","authorities","company_id","character varying","NO",,"companies","id"
"public","authorities","name","character varying","NO",,,
"public","authorities","authority_type","character varying","NO",,,
"public","authorities","dot_mc_number","character varying","YES",,,
"public","authorities","fmc_number","character varying","YES",,,
"public","authorities","license_number","character varying","YES",,,
"public","authorities","is_active","boolean","YES",,,
"public","authorities","is_primary","boolean","YES",,,
"public","authorities","effective_date","timestamp with time zone","YES",,,
"public","authorities","expiration_date","timestamp with time zone","YES",,,
"public","authorities","contact_name","character varying","YES",,,
"public","authorities","contact_phone","character varying","YES",,,
"public","authorities","contact_email","character varying","YES",,,
"public","authorities","business_address","text","YES",,,
"public","authorities","settings","json","YES",,,
"public","authorities","insurance_requirements","json","YES",,,
"public","authorities","compliance_requirements","json","YES",,,
"public","authorities","default_payment_terms","character varying","YES",,,
"public","authorities","default_currency","character varying","YES",,,
"public","authorities","tax_id","character varying","YES",,,
"public","authorities","created_at","timestamp with time zone","YES",,,
"public","authorities","updated_at","timestamp with time zone","YES",,,
"public","authority_audit_logs","id","character varying","NO",,,
"public","authority_audit_logs","authority_id","character varying","NO",,"authorities","id"
"public","authority_audit_logs","user_id","character varying","YES",,"users","id"
"public","authority_audit_logs","action","character varying","NO",,,
"public","authority_audit_logs","entity_type","character varying","YES",,,
"public","authority_audit_logs","entity_id","character varying","YES",,,
"public","authority_audit_logs","old_values","json","YES",,,
"public","authority_audit_logs","new_values","json","YES",,,
"public","authority_audit_logs","change_summary","text","YES",,,
"public","authority_audit_logs","ip_address","character varying","YES",,,
"public","authority_audit_logs","user_agent","text","YES",,,
"public","authority_audit_logs","session_id","character varying","YES",,,
"public","authority_audit_logs","created_at","timestamp with time zone","YES",,,
"public","authority_customers","id","character varying","NO",,,
"public","authority_customers","authority_id","character varying","NO",,"authorities","id"
"public","authority_customers","customer_id","character varying","NO",,"customers","id"
"public","authority_customers","is_primary","boolean","YES",,,
"public","authority_customers","relationship_type","character varying","YES",,,
"public","authority_customers","payment_terms","character varying","YES",,,
"public","authority_customers","credit_limit","integer","YES",,,
"public","authority_customers","special_instructions","text","YES",,,
"public","authority_customers","contract_start_date","timestamp with time zone","YES",,,
"public","authority_customers","contract_end_date","timestamp with time zone","YES",,,
"public","authority_customers","contract_terms","json","YES",,,
"public","authority_customers","created_at","timestamp with time zone","YES",,,
"public","authority_customers","updated_at","timestamp with time zone","YES",,,
"public","authority_financials","id","character varying","NO",,,
"public","authority_financials","authority_id","character varying","NO",,"authorities","id"
"public","authority_financials","period_start","timestamp with time zone","NO",,,
"public","authority_financials","period_end","timestamp with time zone","NO",,,
"public","authority_financials","period_type","character varying","YES",,,
"public","authority_financials","total_revenue","integer","YES",,,
"public","authority_financials","load_count","integer","YES",,,
"public","authority_financials","average_rate","integer","YES",,,
"public","authority_financials","gross_revenue","integer","YES",,,
"public","authority_financials","carrier_payments","integer","YES",,,
"public","authority_financials","ocean_freight_costs","integer","YES",,,
"public","authority_financials","port_charges","integer","YES",,,
"public","authority_financials","fuel_cost","integer","YES",,,
"public","authority_financials","maintenance_cost","integer","YES",,,
"public","authority_financials","driver_pay","integer","YES",,,
"public","authority_financials","overhead_cost","integer","YES",,,
"public","authority_financials","total_expenses","integer","YES",,,
"public","authority_financials","gross_profit","integer","YES",,,
"public","authority_financials","net_profit","integer","YES",,,
"public","authority_financials","profit_margin","integer","YES",,,
"public","authority_financials","carrier_count","integer","YES",,,
"public","authority_financials","average_margin_percent","integer","YES",,,
"public","authority_financials","container_count","integer","YES",,,
"public","authority_financials","teu_count","integer","YES",,,
"public","authority_financials","loads_managed","integer","YES",,,
"public","authority_financials","customer_count","integer","YES",,,
"public","authority_financials","created_at","timestamp with time zone","YES",,,
"public","authority_financials","updated_at","timestamp with time zone","YES",,,
"public","authority_integrations","id","character varying","NO",,,
"public","authority_integrations","authority_id","character varying","NO",,"authorities","id"
"public","authority_integrations","integration_type","character varying","NO",,,
"public","authority_integrations","provider_name","character varying","NO",,,
"public","authority_integrations","provider_id","character varying","YES",,,
"public","authority_integrations","is_active","boolean","YES",,,
"public","authority_integrations","configuration","json","YES",,,
"public","authority_integrations","credentials","json","YES",,,
"public","authority_integrations","last_sync","timestamp with time zone","YES",,,
"public","authority_integrations","sync_frequency","character varying","YES",,,
"public","authority_integrations","error_count","integer","YES",,,
"public","authority_integrations","last_error","text","YES",,,
"public","authority_integrations","created_at","timestamp with time zone","YES",,,
"public","authority_integrations","updated_at","timestamp with time zone","YES",,,
"public","authority_users","id","character varying","NO",,,
"public","authority_users","authority_id","character varying","NO",,"authorities","id"
"public","authority_users","user_id","character varying","NO",,"users","id"
"public","authority_users","can_view","boolean","YES",,,
"public","authority_users","can_edit","boolean","YES",,,
"public","authority_users","can_manage","boolean","YES",,,
"public","authority_users","can_create_loads","boolean","YES",,,
"public","authority_users","can_view_financials","boolean","YES",,,
"public","authority_users","can_manage_customers","boolean","YES",,,
"public","authority_users","is_primary_authority","boolean","YES",,,
"public","authority_users","assigned_at","timestamp with time zone","YES",,,
"public","authority_users","assigned_by_id","character varying","YES",,"users","id"
"public","authority_users","created_at","timestamp with time zone","YES",,,
"public","authority_users","updated_at","timestamp with time zone","YES",,,
"public","banking_accounts","id","uuid","NO","gen_random_uuid()",,
"public","banking_accounts","customer_id","uuid","NO",,"banking_customers","id"
"public","banking_accounts","synctera_account_id","character varying","YES",,,
"public","banking_accounts","account_type","character varying","NO",,,
"public","banking_accounts","account_number","character varying","YES",,,
"public","banking_accounts","routing_number","character varying","YES",,,
"public","banking_accounts","account_name","character varying","NO",,,
"public","banking_accounts","available_balance","double precision","YES","0.0",,
"public","banking_accounts","current_balance","double precision","YES","0.0",,
"public","banking_accounts","pending_balance","double precision","YES","0.0",,
"public","banking_accounts","status","character varying","YES","'active'::character varying",,
"public","banking_accounts","created_at","timestamp with time zone","YES","now()",,
